Taxa	Colour	Taxlevel
Archaea	firebrick1	Domain
Nanoarchaeota	yellow	Phylum
Thermoplasmatota	tan	Phylum
Other_Thermoplasmatota	ivory	Phylum
Thermoproteota	slateblue4	Phylum
Other_Thermoproteota	ivory	Phylum
Bacteria	goldenrod1	Domain
Acidobacteriota	red4	Phylum
Other_Actinobacteriota	ivory	Phylum
Actinomycetota	tomato2	Phylum
Bacillota	saddlebrown	Phylum
Mycoplasma	slateblue4	Genus
Bacteroidota	dodgerblue3	Phylum
Crocinitomicaceae_unclassified	lightskyblue1	Family
Other_Bacteroidota	ivory	Phylum
Balneolota	darkorchid1	Phylum
Bdellovibrionota	violet	Phylum
Calditrichaeota	bisque1	Phylum
Campylobacterota	darkmagenta	Phylum
Chloroflexota	aquamarine4	Phylum
Cyanobacteriota	lightgreen	Phylum
Chloroplast	forestgreen	Order
Other_Cyanobacteriota	ivory	Phylum
Fusobacteriota	red	Phylum
Gemmatimonadota	darkorchid	Phylum
Kiritimatiellaeota	violetred	Phylum
Latescibacterota	skyblue4	Phylum
Marinimicrobia_(SAR406_clade)	deeppink	Phylum
Myxococcota	thistle2	Phylum
NB1-j	darkolivegreen2	Phylum
Planctomycetota	darkseagreen	Phylum
Pseudomonadota	lightblue	Phylum
Alphaproteobacteria	lightblue	Class
Aliiroseovarius	palegreen	Genus
Paracoccaceae_unclassified	forestgreen	Family
Alphaproteobacteria_unclassified	gray40	Class
Other_Alphaproteobacteria	ivory	Class
Gammaproteobacteria	khaki1	Class
Pseudoalteromonas	yellow	Genus
Vibrio	darkkhaki	Genus
Vibrionaceae_unclassified	wheat2	Family
Candidatus_Endoecteinascidia	indianred1	Genus
Endozoicomonas	thistle3	Genus
Kistimonas	tan2	Genus
Endozoicomonadaceae_unclassified	lavenderblush	Family
BD1-7_clade	darkolivegreen2	Genus
Gammaproteobacteria_unclassified	khaki1	Class
Other_Gammaproteobacteria	ivory	Class
Pseudomonadota_unclassified	gray	Phylum
Spirochaetota	cyan	Phylum
Thermodesulfobacteriota	tan3	Phylum
Other_Thermodesulfobacteriota	ivory	Phylum
Verrucomicrobiota	darkorange	Phylum
Other_Verrucomicrobiota	ivory	Phylum
Bacteria_unclassified	goldenrod1	Domain
Other	ivory	Other
No_Relative	gray	Domain
